comment_text;final_data;predicted_aspect;true_aspect_1;similarity_score
Simolangit gak ada air nya piye PDAM iki;simolangit tidak air nya pdam;Air Kotor/Bau;Air Tidak Mengalir;0.0
Srby utara udah 2hari gak nyala:crying_face: airnya;surabaya utara tidak air;Air Kotor/Bau;Air Tidak Mengalir;0.0
Kok di gubeng masih ngga nyala ya dri tadi malam;gubeng tidak malam;Air Kotor/Bau;Air Tidak Mengalir;0.0
bulak rukem timur yaopo iki min seminggu banyu e angell;bulak rukem timur admin minggu air nya susah;Air Kotor/Bau;Air Tidak Mengalir;0.0
@pdamsuryasembada d daera mulyorejoo dri jaman ada galian sampai galian selesaaiii tetap aja airr sulitt....tpi pas hari raya air nya kok lancar jayaaa:fire:;daerah mulyorejoo jaman gali gali selesai airr sulit tapi pas raya air nya lancar jaya;Air Kotor/Bau;Air Tidak Mengalir;0.0
Telat nyimak...coba tau drtd dah Menuhin air min:pensive_face:;lambat nyimak coba dari tadi deh isi air admin;Air Kotor/Bau;Air Tidak Mengalir;0.0
jadi kapan nyala air nya??? bak mandi dah kosong;air nya bak mandi deh kosong;Air Kotor/Bau;Air Tidak Mengalir;0.0
Kapan yaa seleaainya airnya loo udah gak ada samsek di rumah;selesai air loh tidak sama sekali rumah;Air Kotor/Bau;Air Tidak Mengalir;0.0
duh gk ada air:crying_face:;aduh ga air;Air Kotor/Bau;Air Tidak Mengalir;0.0
Sampe sekarang masih belum nyala juga untuk area Rungkut permai :clapping_hands:;area rungkut permai;Air Kotor/Bau;Air Tidak Mengalir;0.0
Air bak mandi habis ... Kapan ya selesai ?;air bak mandi habis selesai;Air Kotor/Bau;Air Tidak Mengalir;0.0
Ayo kpn nyala gunung anyar;ayo gunung anyar;Air Kotor/Bau;Air Tidak Mengalir;0.0
Sampai sekarang belum nyala airnya min.. :crying_face:;air admin;Air Kotor/Bau;Air Tidak Mengalir;0.0
Apa masih belum selesai minn krn belum nyala sampe sekarang:crying_face:;selesai minn;Air Kotor/Bau;Air Tidak Mengalir;0.0
Gunung anyar belum nyala min;gunung anyar admin;Air Kotor/Bau;Air Tidak Mengalir;0.0
Gada aer;gaada air;Air Kotor/Bau;Air Tidak Mengalir;0.0
Min kenapa udah 4harian kok air tidak bisa naek ke torn atas ya? Apakah lg ada perbaikan kayak kapan hari?;admin hari air tidak torrent baik kayak;Air Kotor/Bau;Air Tidak Mengalir;0.0
Pdam tolong ya perumahan kencana residence kalilom lor indah,klo siang airnya tdk pernah nyala,malam nyala di atas jam 9 tp ini tdk nyala,gimana mau kerjaa,saya sdh tahan2 dr lama ini;pdam rumah kencana residence kalilom lor indahklo siang air tidak nyalamalam jam tidak nyalagimana kerjaasaya tahan;Air Kotor/Bau;Air Tidak Mengalir;0.0
Pak air di kodam mati,kate sholat bingung g onok banyu;air kodam matikate sholat bingung ga air;Air Kotor/Bau;Air Tidak Mengalir;0.0
PDAM Kebraon kumat maneh iki lhoo. Gatau nggawe pengumuman blasss. Heran;pdam kebraon kambuh loh ga pernah pakai umum sama sekali heran;Air Kotor/Bau;Air Tidak Mengalir;0.0
Dijojoran pdamx kalau sama yg pakai sanyoo,,,dirumah klre lak malam aja air pdamx;dijojoran pdamx pakai sanyoodirumah klre malam air pdamx;Air Kotor/Bau;Air Tidak Mengalir;0.0
Kapan murupe Iki banyune min daerah Kemlaten? @pdamsuryasembada;nyala air admin daerah kemlaten;Air Kotor/Bau;Air Tidak Mengalir;0.0
Dari tadi di kolom komen estimasi 1 jam slesai tp smpek jam set 12 belom nyala nih air HMMM;kolom komen estimasi jam selesai jam set air;Air Kotor/Bau;Air Tidak Mengalir;0.0
Terpantau di Sumberan balas klumprik masih belom nyala ya min :sweat_droplets:...;pantau sumber balas klumprik admin;Air Kotor/Bau;Air Tidak Mengalir;0.0
Sumberan bongko banyumu,cak @pdamsuryasembada;sumber bongko banyumucak;Air Kotor/Bau;Air Tidak Mengalir;0.0
Ayoo pak Ndak dinyalakan air Kebraon , Iki akeh aktifitas pak;ayoo tidak nyala air kebraon akeh aktivitas;Air Kotor/Bau;Air Tidak Mengalir;0.0
Sido E nyala jam piro Min ,Kebraon Iki ?;sido nya jam piro admin kebraon;Air Kotor/Bau;Air Tidak Mengalir;0.0
Air di daerah kebraon kok masih belum nyala;air daerah kebraon;Air Kotor/Bau;Air Tidak Mengalir;0.0
kalau ada perbaikan mohon ada pemberitahuan. jadi bisa persiapan air, dan air bersih di bak mandi tidak tercampur dengan air keruh. kalau begini saya harus kuras bak mandi. MOHON DAPAT DIJADIKAN PERTIMBANGAN DI KEMUDIAN HARI.;baik mohon pemberitahuan siap air air bersih bak mandi tidak campur air keruh kuras bak mandi mohon jadi timbang;Air Kotor/Bau;Air Tidak Mengalir;0.04351696068108028
Di lontar belum nyala;lontar;Air Kotor/Bau;Air Tidak Mengalir;0.0
Waduuh ini PDAM KEBRAON belum nyala kahhh?? Tolongg pakk nyalakan airnyaa, butuh iniii;waduuh pdam kebraon kahhh tolongg pakk nyala airnyaa butuh iniii;Air Kotor/Bau;Air Tidak Mengalir;0.0
sampai jam brp ini Kebraon PDAMnya nyala boss???;jam kebraon pdamnya bos;Air Kotor/Bau;Air Tidak Mengalir;0.0
Kapan nyala iki kebraon, info pok'o minnnnnn, budal kerjo mosok Raup tok;kebraon informasi poko minnnnnn berangkat kerja raup tok;Air Kotor/Bau;Air Tidak Mengalir;0.0
Kebiasaan, perbaikan waktu pagi² dan mau siap² berangkat kerja. Berapa jam ini perbaikannya!;biasa baik pagi berangkat kerja jam baik;Air Kotor/Bau;Air Tidak Mengalir;0.0
kedurus ini kapan selesainya jamberapaaaaaa air normaaal?;kedurus selesai jam berapa air normal;Air Kotor/Bau;Air Tidak Mengalir;0.0
Min...min daerah Kebraon bkok belom nyala dari pagi Ampe sekarang ini gmn saya mau aktifitas klo gak ada air sama sekali;minmin daerah kebraon b kok pagi aktivitas tidak air;Air Kotor/Bau;Air Tidak Mengalir;0.0
Rumah saya terdampak di daerah Jl Mastrip. Apa perbaikan akan sampai sore hari?;rumah dampak daerah jalan mastrip baik sore;Air Kotor/Bau;Air Tidak Mengalir;0.0
Selamat pagi. Mohon cek DM ya. Gangguan air di injoko gayungan;selamat pagi mohon cek pesan ganggu air injoko gayung;Air Kotor/Bau;Air Tidak Mengalir;0.0
Halo min manukan kulon dirumah saya smp saat ini blom nyala sama sekali.. Gimana ini?;halo admin manuk kulon rumah;Air Kotor/Bau;Air Tidak Mengalir;0.0
karangan wiyung hari ini 7 maret gak keluar,,tapi tetangga kanan kiri air nya normal;karang wiyung maret tidak keluartapi tetangga kanan kiri air nya normal;Air Kotor/Bau;Air Tidak Mengalir;0.0
bendul bayune mati,lekkk @pdamsuryasembada;bendul bayune matilekkk;Air Kotor/Bau;Air Tidak Mengalir;0.0
min kawasan kampung seng nyala airnya malam terus. mohon di cek.;admin kawasan kampung seng air malam mohon cek;Air Kotor/Bau;Air Tidak Mengalir;0.0
Min,, sahur-sahur kok air di manukan di matiin sih? Apa ada perbaikan yaa? @pdamsuryasembada;admin sahur sahur air manuk matiin sih baik;Air Kotor/Bau;Air Tidak Mengalir;0.0
