word,pos,sentiment
abdi,Verba,0
achmadi,Verba,0
ada,Verba,0
adalagi,Verba,0
administrasi,Verba,0
admistrasi,Verba,0
adu,Verba,-1
alami,Verba,-1
alir,Verba,1
antisipasi,Verba,0
antri,Verba,0
arti,Verba,1
asli,Verba,1
asri,Verba,0
balai,Verba,-1
balongsari,Verba,0
banjarsari,Verba,0
bantu,Verba,1
barangkali,Verba,0
bayar,Verba,-1
bayi,Verba,-1
bedi,Verba,0
beli,Verba,0
ber,Verba,0
berak,Verba,-1
berangkat,Verba,-1
berapa,Verba,0
beras,Verba,0
berat,Verba,0
beres,Verba,0
beri,Verba,0
berkah,Verba,1
berkas,Verba,0
berwudhu,Verba,0
bocor,Verba,-1
brarti,Verba,0
bri,Verba,0
bsi,Verba,0
bthkan,Verba,0
buat,Verba,1
budi,Verba,0
bukti,Verba,-1
bumi,Verba,0
bunyi,Verba,0
bupati,Verba,0
candi,Verba,0
capai,Verba,0
cari,Verba,-1
catat,Verba,0
cek,Verba,0
cuci,Verba,0
dapat,Verba,0
datang,Verba,-1
dedikasi,Verba,0
deteksi,Verba,0
diameter,Verba,0
dicatet,Verba,0
didik,Verba,0
didlm,Verba,0
difollow,Verba,0
digital,Verba,0
digitalisasi,Verba,0
diinput,Verba,0
dikit,Verba,-1
diknas,Verba,0
dikranggan,Verba,0
dillaporkan,Verba,0
dinas,Verba,0
dino,Verba,0
dinoyo,Verba,0
dipake,Verba,0
direksi,Verba,-1
direktur,Verba,1
diri,Verba,-1
dirut,Verba,0
discon,Verba,0
diskon,Verba,1
diskriminasi,Verba,0
disosialisaiskan,Verba,0
distribusi,Verba,1
ditanggapin,Verba,0
ditindaklanjuti,Verba,0
diupload,Verba,0
dividen,Verba,0
durasi,Verba,0
edukasi,Verba,0
efisiensi,Verba,0
eri,Verba,0
erti,Verba,0
estimasi,Verba,0
fitri,Verba,0
fungsi,Verba,0
gali,Verba,0
ganti,Verba,0
gigi,Verba,0
gunungsari,Verba,0
hai,Verba,1
harjadi,Verba,0
haryadi,Verba,0
hati,Verba,0
hubung,Verba,0
hubungngi,Verba,0
huni,Verba,-1
ii,Verba,0
ikan,Verba,0
industri,Verba,0
ini,Verba,0
inovasi,Verba,1
inspeksi,Verba,0
inspirasi,Verba,-1
instalasi,Verba,0
inti,Verba,0
isi,Verba,0
istri,Verba,0
jadi,Verba,0
jambi,Verba,0
jawab,Verba,0
jemurwonosari,Verba,0
kaki,Verba,0
kalibrasi,Verba,0
kan,Verba,0
kapasari,Verba,0
kartini,Verba,0
kasih,Verba,1
kategori,Verba,0
kebonsari,Verba,0
keluar,Verba,0
kemari,Verba,0
kembali,Verba,0
kemballi,Verba,0
kena,Verba,-1
kendangsari,Verba,0
kerja,Verba,1
kini,Verba,1
kiri,Verba,-1
kolaborasi,Verba,0
komisi,Verba,1
kompensasi,Verba,0
komunikasi,Verba,0
konfirmasi,Verba,1
kontribusi,Verba,0
kopi,Verba,0
koreksi,Verba,0
kunci,Verba,1
kyai,Verba,0
labansari,Verba,0
lagiiiii,Verba,0
lali,Verba,-1
lanjut,Verba,0
lantai,Verba,0
lapor,Verba,-1
layan,Verba,1
lestari,Verba,1
lokasi,Verba,0
malah,Verba,0
mandi,Verba,0
mandiri,Verba,-1
mari,Verba,0
maspati,Verba,0
masuk,Verba,-1
matawai,Verba,0
me,Verba,0
mebel,Verba,0
media,Verba,0
medium,Verba,1
medok,Verba,-1
medsos,Verba,0
melky,Verba,0
mem,Verba,0
memang,Verba,0
memori,Verba,0
menang,Verba,0
menindaklanjuti,Verba,0
meningkatkanv,Verba,0
menit,Verba,0
menjangan,Verba,0
menjdi,Verba,0
mennghambat,Verba,0
menteri,Verba,0
mentingin,Verba,0
menu,Verba,0
menyalaaa,Verba,0
merdeka,Verba,0
merespon,Verba,1
merk,Verba,0
mesin,Verba,0
meski,Verba,-1
mesti,Verba,-1
metaran,Verba,0
meteranmet,Verba,0
minum,Verba,-1
misi,Verba,0
misteri,Verba,0
motivasi,Verba,0
mulai,Verba,1
mulyosari,Verba,0
mustiani,Verba,0
naik,Verba,0
ngajukan,Verba,0
nih,Verba,0
nilai,Verba,1
normalisasi,Verba,0
nyuci,Verba,0
pakai,Verba,0
pantai,Verba,1
pasang,Verba,0
pasti,Verba,1
peduli,Verba,0
pegawai,Verba,1
pekat,Verba,0
pel,Verba,0
pelan,Verba,0
pelang,Verba,0
pelanggaam,Verba,0
pelosok,Verba,-1
pemakaia,Verba,0
pemakain,Verba,0
pemberitahuan,Verba,-1
pembyran,Verba,0
pemkab,Verba,0
penalti,Verba,0
penasaran,Verba,-1
pencerahaannya,Verba,0
pendam,Verba,0
pendistibusian,Verba,0
penghisap,Verba,0
pengumumamnya,Verba,0
penjelasanx,Verba,0
penuh,Verba,0
peparnas,Verba,0
perak,Verba,0
peran,Verba,0
percaya,Verba,1
pergi,Verba,0
perhati,Verba,0
periksa,Verba,-1
perinci,Verba,0
peringkat,Verba,0
perintah,Verba,0
periode,Verba,0
perlu,Verba,1
permai,Verba,-1
permisi,Verba,0
pernah,Verba,0
perpamsi,Verba,0
persil,Verba,0
persis,Verba,0
person,Verba,0
perum,Verba,0
perumda,Verba,0
perumdam,Verba,0
pesing,Verba,0
pesisir,Verba,0
petak,Verba,0
pgi,Verba,0
posisi,Verba,0
prestasi,Verba,0
pribadi,Verba,0
produksi,Verba,0
provinsi,Verba,0
pulosari,Verba,0
putar,Verba,0
rapi,Verba,0
rekan,Verba,0
rembes,Verba,0
resmi,Verba,1
respon,Verba,0
retribusi,Verba,0
revitalisasi,Verba,0
ri,Verba,0
rinci,Verba,0
ristawati,Verba,0
rugi,Verba,-1
saksi,Verba,1
sari,Verba,0
segi,Verba,-1
sei,Verba,0
selesai,Verba,0
selokan,Verba,-1
sendiri,Verba,-1
seri,Verba,0
sertifikasi,Verba,0
sesuai,Verba,1
sesui,Verba,0
si,Verba,0
sidodadi,Verba,0
sidomukti,Verba,0
signifikan,Verba,0
silaturahmi,Verba,0
sini,Verba,0
sisi,Verba,0
siswi,Verba,0
sndri,Verba,0
solasi,Verba,0
solusi,Verba,1
sosialisasi,Verba,0
sperti,Verba,0
srikandi,Verba,0
suami,Verba,0
suci,Verba,0
sungai,Verba,0
suplai,Verba,0
supriyadi,Verba,0
survei,Verba,0
tagih,Verba,-1
tambaksari,Verba,0
tambakwedi,Verba,0
tangki,Verba,0
tegalsari,Verba,0
tekan,Verba,0
teknisi,Verba,0
teknologi,Verba,0
ter,Verba,0
tera,Verba,0
terap,Verba,0
terbaikkk,Verba,0
terima,Verba,1
terimkasih,Verba,0
terjun,Verba,0
terkadang,Verba,1
tersier,Verba,0
tertawa,Verba,1
terus,Verba,0
terusin,Verba,0
tindak,Verba,0
tinggi,Verba,0
tinnggikan,Verba,0
tirtanadi,Verba,0
tirtosari,Verba,0
tunai,Verba,1
ubah,Verba,0
umi,Verba,1
undi,Verba,0
versi,Verba,0
visi,Verba,1
wali,Verba,0
wedi,Verba,0
wikanti,Verba,0
woi,Verba,0
wonolitri,Verba,0
xvi,Verba,0
zamhuri,Verba,0
