word,sentiment
terima kasih,1
terima kasih banyak,1
terima kasih infonya,1
air bersih,1
layanan prima,1
pelayanan terbaik,1
respon cepat,1
sudah mengalir,1
tidak mengecewakan,1
ucap terima kasih,1
terima kasih pdam,1
apresiasi pdam,1
gerak cepat,1
layan air bersih,1
air bersih masyarakat,1
layan masyarakat,1
pelayanan masyarakat,1
kerja pdam,1
air minum,1
perumda air minum,1
tidak ada respon,-1
tidak ada tanggapan,-1
tidak ada tindak lanjut,-1
tidak ada informasi,-1
tidak ada tindak,-1
belum ada respon,-1
belum ada tanggapan,-1
belum ada tindak lanjut,-1
belum ada tindak,-1
belum hidup,-1
belum keluar,-1
tidak ada air,-1
ga ada air,-1
air tidak mengalir,-1
air tidak keluar,-1
air ga keluar,-1
tidak keluar air,-1
tidak keluar,-1
ga keluar,-1
air mati,-1
mati airnya,-1
airnya mati,-1
air keruh,-1
air coklat,-1
keluar kecil,-1
air keluar kecil,-1
air pdam mati,-1
air pdam keruh,-1
meter rusak,-1
meter mati,-1
meter tidak jalan,-1
meter macet,-1
ganti meter air,-1
tidak berputar,-1
tidak jalan,-1
ada kebocoran,-1
kebocoran pipa,-1
ada bocor,-1
keran pdam rusak,-1
keran meter bocor,-1
tagih naik,-1
tagihan melonjak,-1
melonjak sekali,-1
tarif naik,-1
naik drastis,-1
salah catat,-1
salah catat meter,-1
sampai sekarang belum,-1
sampai sekarang tidak,-1
sekarang belum ada,-1
sekarang tidak ada,-1
tapi sampai sekarang,-1
tapi belum ada,-1
tapi tidak ada,-1
mohon tindak lanjut,-1
mohon bantu,-1
mohon cek,-1
tolong cek,-1
ubah kode tarif,-1
kode tarif berubah,-1
tidak bisa,-1
tidk bisa,-1
tidak sesuai,-1
tidak dapat,-1
tidak masuk akal,-1
antrian panjang,-1
makan korban,-1
mohon informasi,0
mohon info,0
selamat siang,0
halo admin,0
ada promo,0
ada informasi,0
ada perbaikan,0
nomor pendaftaran,0
surat tanah,0
